rxn00001	diphosphate phosphohydrolase
rxn00002	urea-1-carboxylate amidohydrolase
rxn00003	pyruvate:pyruvate acetaldehydetransferase (decarboxylating)
rxn00004	4-hydroxy-4-methyl-2-oxoglutarate pyruvate-lyase (pyruvate-forming)
rxn00006	hydrogen-peroxide:hydrogen-peroxide oxidoreductase
rxn00007	alpha,alpha-trehalose glucohydrolase
rxn00008	Mn(II):hydrogen-peroxide oxidoreductase
rxn00009	GTP:GTP guanylyltransferase
rxn00010	glyoxylate carboxy-lyase (dimerizing; tartronate-semialdehyde-forming)
rxn00011	pyruvate:thiamin diphosphate acetaldehydetransferase (decarboxylating)
rxn00012	sucrose:sucrose 1'-beta-D-fructosyltransferase
rxn00013	D-Glucose-1-phosphate:D-glucose-1-phosphate 6-phosphotransferase
rxn00014	ferrocytochrome-c:hydrogen-peroxide oxidoreductase
rxn00015	putrescine:putrescine 4-aminobutyltransferase (ammonia-forming)
rxn00016	chitobiose N-acetylglucosaminohydrolase
rxn00017	hydroxylamine:NAD+ oxidoreductase
rxn00018	3-phospho-D-glycerate carboxy-lyase (dimerizing; D-ribulose-1,5-bisphosphate-forming)
rxn00019	2-Nitropropane:oxygen 2-oxidoreductase
rxn00020	cellobiose glucohydrolase
rxn00021	2-hydroxy-1,2-diphenylethanone benzaldehyde-lyase (benzaldehyde-forming)
rxn00022	maltose glucohydrolase
rxn00023	thiosulfate:ferricytochrome-c oxidoreductase
rxn00024	1,2-Benzenediol:oxygen oxidoreductase
rxn00025	beta-Carotene:oxygen 15,15'-oxidoreductase (bond-cleaving)
rxn00026	thiamine:oxygen 5-oxidoreductase
rxn00027	Cyclobutadipyrimidine (in DNA) pyrimidine-lyase
rxn00028	L-ascorbate:oxygen oxidoreductase
rxn00029	5-aminolevulinate hydro-lyase (adding 5-aminolevulinate and cyclizing; porphobilinogen-forming)
rxn00030	4-hydroxy-3-hexanone propanal-lyase (propanal-forming)
rxn00031	raffinose:raffinose 1F-alpha-D-galactosyltransferase
rxn00032	Choline:oxygen 1-oxidoreductase
rxn00033	4-hydroxyphenylpyruvate:oxygen oxidoreductase (decarboxylating)
rxn00034	1,2-bis(4-hydroxy-3-methoxyphenyl)ethylene:oxygen oxidoreductase (alpha-beta-bond-cleaving)
rxn00035	columbamine:oxygen oxidoreductase (cyclizing)
rxn00036	3,4-dihydroxy-L-phenylalanine:oxygen oxidoreductase
rxn00037	omega-3 fatty acid desaturase, chloroplast (FAD7) (FADD)
rxn00038	(R)-3-((R)-3-Hydroxybutanoyloxy)-butanoate hydroxybutanoylhydrolase
rxn00039	1-O-galloyl-beta-D-glucose:1-O-galloyl-beta-D-glucose O-galloyltransferase
rxn00040	digallate acylhydrolase
rxn00041	orsellinate-depside hydrolase
rxn00042	inosine:oxygen 5'-oxidoreductase
rxn00043	catechol:oxygen oxidoreductase
rxn00044	N-(6-aminohexanoyl)-6-aminohexanoate amidohydrolase
rxn00045	bilirubin-glucuronoside:bilirubin-glucuronoside D-glucuronosyltransferase
rxn00046	1-O-sinapoyl-beta-D-glucose:1-O-sinapoyl-beta-D-glucose 1-O-sinapoyltransferase
rxn00047	R_4__4_Deoxy_beta_D_gluc_4_enuronosyl__D_galacturonate_lyase
rxn00048	6,7-Dimethyl-8-(1-D-ribityl)lumazine:6,7-dimethyl-8-(1-D-ribityl)lumazine 2,3-butanediyltransferase
